Name,Nomenclature Name
ML1PMN_SAM09_20150129_2000.lsm,L1PMN_1.1_150129_sam09_t12
ML1PMN_SAM08_20150129_2000.lsm,L1PMN_1.1_150129_sam08_t12
ML1PMN_SAM07_20150129_2000.lsm,L1PMN_1.1_150129_sam07_t12
ML1PMN_SAM06_20150129_2000.lsm,L1PMN_1.1_150129_sam06_t12
ML1PMN_SAM05_20150129_2000.lsm,L1PMN_1.1_150129_sam05_t12
ML1PMN_SAM04_20150129_2000.lsm,L1PMN_1.1_150129_sam04_t12
ML1PMN_SAM03_20150129_2000.lsm,L1PMN_1.1_150129_sam03_t12
ML1PMN_SAM02_20150129_2000.lsm,L1PMN_1.1_150129_sam02_t12
ML1PMN_SAM10_20150129_1600.lsm,L1PMN_1.1_150129_sam10_t08
ML1PMN_SAM09_20150129_1600.lsm,L1PMN_1.1_150129_sam09_t08
ML1PMN_SAM08_20150129_1600.lsm,L1PMN_1.1_150129_sam08_t08
ML1PMN_SAM07_20150129_1600.lsm,L1PMN_1.1_150129_sam07_t08
ML1PMN_SAM06_20150129_1600.lsm,L1PMN_1.1_150129_sam06_t08
ML1PMN_SAM05_20150129_1600.lsm,L1PMN_1.1_150129_sam05_t08
ML1PMN_SAM04_20150129_1600.lsm,L1PMN_1.1_150129_sam04_t08
ML1PMN_SAM03_20150129_1600.lsm,L1PMN_1.1_150129_sam03_t08
ML1PMN_SAM02_20150129_1600.lsm,L1PMN_1.1_150129_sam02_t08
ML1PMN_SAM10_20150129_1200.lsm,L1PMN_1.1_150129_sam10_t04
ML1PMN_SAM09_20150129_1200.lsm,L1PMN_1.1_150129_sam09_t04
ML1PMN_SAM08_20150129_1200.lsm,L1PMN_1.1_150129_sam08_t04
ML1PMN_SAM07_20150129_1200.lsm,L1PMN_1.1_150129_sam07_t04
ML1PMN_SAM06_20150129_1200.lsm,L1PMN_1.1_150129_sam06_t04
ML1PMN_SAM05_20150129_1200.lsm,L1PMN_1.1_150129_sam05_t04
ML1PMN_SAM04_20150129_1200.lsm,L1PMN_1.1_150129_sam04_t04
ML1PMN_SAM03_20150129_1200.lsm,L1PMN_1.1_150129_sam03_t04
ML1PMN_SAM02_20150129_1200.lsm,L1PMN_1.1_150129_sam02_t04
ML1PMN_SAM01_20150129_0800.lsm,L1PMN_1.1_150129_sam01_t00
ML1PMN_SAM10_20150129_0800.lsm,L1PMN_1.1_150129_sam10_t00
ML1PMN_SAM09_20150129_0800.lsm,L1PMN_1.1_150129_sam09_t00
ML1PMN_SAM07_20150129_0800.lsm,L1PMN_1.1_150129_sam07_t00
ML1PMN_SAM10_20150129_0800.lsm,L1PMN_1.1_150129_sam10_t00
ML1PMN_SAM09_20150129_0800.lsm,L1PMN_1.1_150129_sam09_t00
ML1PMN_SAM08_20150129_0800.lsm,L1PMN_1.1_150129_sam08_t00
ML1PMN_SAM07_20150129_0800.lsm,L1PMN_1.1_150129_sam07_t00
ML1PMN_SAM06_20150129_0800.lsm,L1PMN_1.1_150129_sam06_t00
ML1PMN_SAM05_20150129_0800.lsm,L1PMN_1.1_150129_sam05_t00
ML1PMN_SAM04_20150129_0800.lsm,L1PMN_1.1_150129_sam04_t00
ML1PMN_SAM03_20150129_0800.lsm,L1PMN_1.1_150129_sam03_t00
ML1PMN_SAM02_20150129_0800.lsm,L1PMN_1.1_150129_sam02_t00
Col0 12h SAM5bis.lsm,col0-PIN1_WT_150129_sam05_t00
DW4.1_PI_SAM03_20150217_1200.lsm,DR5v2-PI_B2_150217_sam03_t00
DW4.1_PI_SAM02_20150217_1200.lsm,DR5v2-PI_E1_150217_sam02_t00
DW4.1_PI_SAM01_20150217_1200.lsm,DR5v2-PI_D2_150217_sam01_t00
20150415_DW5.2_SAM1.lsm,DR5N_5.2_150415_sam01_t00
20150415_DW5.2_SAM3.lsm,DR5N_5.2_150415_sam03_t00
20150415_DW5.2_SAM4.lsm,DR5N_5.2_150415_sam04_t00
20150415_DW5.2_SAM7.lsm,DR5N_5.2_150415_sam07_t00
20150415_DW5.2_SAM8.lsm,DR5N_5.2_150415_sam08_t00
20150415_DW5.2_SAM9.lsm,DR5N_5.2_150415_sam09_t00
20150415_DW5.2_SAM11.lsm,DR5N_5.2_150415_sam11_t00
20150415_DW5.2_SAM12.lsm,DR5N_5.2_150415_sam12_t00
20150415_DW6.1_SAM1.lsm,DR5N_6.1_150415_sam01_t00
20150415_DW6.1_SAM2.lsm,DR5N_6.1_150415_sam02_t00
20150415_DW6.1_SAM3.lsm,DR5N_6.1_150415_sam03_t00
20150415_DW6.1_SAM4.lsm,DR5N_6.1_150415_sam04_t00
20150415_DW6.1_SAM6.lsm,DR5N_6.1_150415_sam06_t00
20150415_DW6.1_SAM7.lsm,DR5N_6.1_150415_sam07_t00
20150415_DW6.1_SAM8.lsm,DR5N_6.1_150415_sam08_t00
20150415_DW6.1_SAM11.lsm,DR5N_6.1_150415_sam11_t00
20150415_DW7.1_SAM2.lsm,DR5N_7.1_150415_sam02_t00
20150415_DW7.1_SAM3.lsm,DR5N_7.1_150415_sam03_t00
20150415_DW7.1_SAM4.lsm,DR5N_7.1_150415_sam04_t00
20150415_DW7.1_SAM6.lsm,DR5N_7.1_150415_sam06_t00
20150415_DW7.1_SAM7.lsm,DR5N_7.1_150415_sam07_t00
20150415_DW7.1_SAM11.lsm,DR5N_7.1_150415_sam11_t00
Col0 SAM7n.lsm,col0-PI_WT_150423_sam07_t00
Col0 SAM8N.lsm,col0-PI_WT_150423_sam08_t00
Col0 SAM10N.lsm,col0-PI_WT_150423_sam10_t00
183.18A-img1.lsm,PMN_183.18A_151124_sam01_t00
183.18A-img2.lsm,PMN_183.18A_151124_sam02_t00
183.18A-img3.lsm,PMN_183.18A_151124_sam03_t00
DW6.1-z0.50-S1.lsm,DR5N_6.1_151124_sam01_z0.50_t00
DW6.1-z0.52-S2.lsm,DR5N_6.1_151124_sam02_z0.52_t00
DW6.1-z0.52-S3.lsm,DR5N_6.1_151124_sam03_z0.52_t00
DW6.1-z0.80-S1.lsm,DR5N_6.1_151124_sam01_z0.80_t00
DW6.1-z0.80-S2.lsm,DR5N_6.1_151124_sam02_z0.80_t00
DW6.1-z0.80-S3.lsm,DR5N_6.1_151124_sam03_z0.80_t00
DW6.1-z1.04-S1.lsm,DR5N_6.1_151124_sam01_z1.04_t00
DW6.1-z1.04-S2.lsm,DR5N_6.1_151124_sam02_z1.04_t00
DW6.1-z1.04-S3.lsm,DR5N_6.1_151124_sam03_z1.04_t00
183.18E-img1.lsm,PMN_183.18E_151124_sam01_t00
183.18E-img2.lsm,PMN_183.18E_151124_sam02_t00
183.18E-img3.lsm,PMN_183.18E_151124_sam03_t00
qDII-11c-CLV3-CH-MS-E1-LD-SAM1.czi,qDII-CLV3-PI-LD_11c_160518_sam01_t00
qDII-11c-CLV3-CH-MS-E1-LD-SAM2.czi,qDII-CLV3-PI-LD_11c_160518_sam02_t00
qDII-11c-CLV3-CH-MS-E1-LD-SAM3.czi,qDII-CLV3-PI-LD_11c_160519_sam03_t00
qDII-11c-CLV3-CH-MS-E1-LD-SAM4.czi,qDII-CLV3-PI-LD_11c_160518_sam04_t00
qDII-11c-CLV3-CH-MS-E1-SD-SAM1.czi,qDII-CLV3-PI-SD_11c_160522_sam01_t00
qDII-11c-CLV3-CH-MS-E1-SD-SAM2.czi,qDII-CLV3-PI-SD_11c_160523_sam02_t00
qDII-11c-E5-LD-SAM1.czi,qDII-CLV3-LD_11c_160404_sam01_t00
qDII-11c-E5-LD-SAM2.czi,qDII-CLV3-LD_11c_160404_sam02_t00
PIN1-GFP-CLV3-CH-MS-E1-LD-SAM1.czi,PIN1-CLV3-PI-LD_1.1_160518_sam01_t00
PIN1-GFP-CLV3-CH-MS-E1-LD-SAM3.czi,PIN1-CLV3-PI-LD_1.1_160518_sam03_t00
PIN1-GFP-CLV3-CH-MS-E1-LD-SAM4.czi,PIN1-CLV3-PI-LD_1.1_160518_sam04_t00
PIN1-GFP-CLV3-CH-MS-E1-LD-SAM5.czi,PIN1-CLV3-PI-LD_1.1_160518_sam05_t00
PIN1-GFP-CLV3-CH-MS-E1-SD-SAM1.czi,PIN1-CLV3-PI-SD_1.1_160522_sam01_t00
PIN1-GFP-CLV3-CH-MS-E1-SD-SAM2.czi,PIN1-CLV3-PI-SD_1.1_160522_sam02_t00
PIN1-GFP-CLV3-CH-MS-E1-SD-SAM5.czi,PIN1-CLV3-PI-SD_1.1_160522_sam05_t00
PIN1-GFP-CLV3-CH-MS-E1-SD-SAM6.czi,PIN1-CLV3-PI-SD_1.1_160522_sam06_t00
qDII-11c-CLV3-CH-MS-E3-LD-SAM1.czi,qDII-CLV3-LD_E3_160623_sam01_t00
qDII-11c-CLV3-CH-MS-E3-LD-SAM2.czi,qDII-CLV3-LD_E3_160623_sam02_t00
qDII-11c-CLV3-CH-MS-E3-LD-SAM3.czi,qDII-CLV3-LD_E3_160623_sam03_t00
qDII-11c-CLV3-CH-MS-E3-LD-SAM4.czi,qDII-CLV3-LD_E3_160623_sam04_t00
qDII-11c-CLV3-CH-MS-E3-LD-SAM5.czi,qDII-CLV3-LD_E3_160623_sam05_t00
qDII-11c-CLV3-CH-MS-E3-LD-SAM6.czi,qDII-CLV3-LD_E3_160623_sam06_t00
qDII-11c-CLV3-CH-MS-E3-LD-SAM7.czi,qDII-CLV3-LD_E3_160623_sam07_t00
qDII-11c-CLV3-CH-MS-E3-LD-SAM8.czi,qDII-CLV3-LD_E3_160623_sam08_t00
qDII-11c-CLV3-CH-MS-E3-SD-SAM1.czi,qDII-CLV3-SD_E3_160623_sam01_t00
qDII-11c-CLV3-CH-MS-E3-SD-SAM2.czi,qDII-CLV3-SD_E3_160623_sam02_t00
